NO_MUNICIPIO_ESC;MESORREGIÃO;MICRORREGIÃO
Alfredo Vasconcelos;Campo Das Vertentes;Barbacena
Antônio Carlos;Campo Das Vertentes;Barbacena
Barroso;Campo Das Vertentes;Barbacena
Barbacena;Campo Das Vertentes;Barbacena
Capela Nova;Campo Das Vertentes;Barbacena
Caranaíba;Campo Das Vertentes;Barbacena
Carandaí;Campo Das Vertentes;Barbacena
Carrancas;Campo Das Vertentes;Lavras
Conceição da Barra de Minas;Campo Das Vertentes;São João del-Rei
Coronel Xavier Chaves;Campo Das Vertentes;São João del-Rei
Desterro do Melo;Campo Das Vertentes;Barbacena
Dores de Campos;Campo Das Vertentes;São João del-Rei
Ibertioga;Campo Das Vertentes;Barbacena
Ijaci;Campo Das Vertentes;Lavras
Ingaí;Campo Das Vertentes;Lavras
Itumirim;Campo Das Vertentes;Lavras
Itutinga;Campo Das Vertentes;Lavras
Lagoa Dourada;Campo Das Vertentes;São João del-Rei
Lavras;Campo Das Vertentes;Lavras
Luminárias;Campo Das Vertentes;Lavras
Madre de Deus de Minas;Campo Das Vertentes;São João del-Rei
Nazareno;Campo Das Vertentes;São João del-Rei
Nepomuceno;Campo Das Vertentes;Lavras
Piedade do Rio Grande;Campo Das Vertentes;São João del-Rei
Prados;Campo Das Vertentes;São João del-Rei
Resende Costa;Campo Das Vertentes;São João del-Rei
Ressaquinha;Campo Das Vertentes;Barbacena
Ribeirão Vermelho;Campo Das Vertentes;Lavras
Ritápolis;Campo Das Vertentes;São João del-Rei
Santa Bárbara do Tugúrio;Campo Das Vertentes;Barbacena
Santa Cruz de Minas;Campo Das Vertentes;São João del-Rei
Santana do Garambéu;Campo Das Vertentes;São João del-Rei
São João del Rei;Campo Das Vertentes;São João del-Rei
São Tiago;Campo Das Vertentes;São João del-Rei
Senhora dos Remédios;Campo Das Vertentes;Barbacena
Tiradentes;Campo Das Vertentes;São João del-Rei
Abaeté;Central Mineira;Três Marias
Araújos;Central Mineira;Bom Despacho
Augusto de Lima;Central Mineira;Curvelo
Biquinhas;Central Mineira;Três Marias
Bom Despacho;Central Mineira;Bom Despacho
Buenópolis;Central Mineira;Curvelo
Cedro do Abaeté;Central Mineira;Três Marias
Corinto;Central Mineira;Curvelo
Curvelo;Central Mineira;Curvelo
Dores do Indaiá;Central Mineira;Bom Despacho
Estrela do Indaiá;Central Mineira;Bom Despacho
Felixlândia;Central Mineira;Curvelo
Inimutaba;Central Mineira;Curvelo
Japaraíba;Central Mineira;Bom Despacho
Joaquim Felício;Central Mineira;Curvelo
Lagoa da Prata;Central Mineira;Bom Despacho
Leandro Ferreira;Central Mineira;Bom Despacho
Luz;Central Mineira;Bom Despacho
Martinho Campos;Central Mineira;Bom Despacho
Moema;Central Mineira;Bom Despacho
Monjolos;Central Mineira;Curvelo
Morada Nova de Minas;Central Mineira;Três Marias
Morro da Garça;Central Mineira;Curvelo
Paineiras;Central Mineira;Três Marias
Pompéu;Central Mineira;Três Marias
Presidente Juscelino;Central Mineira;Curvelo
Quartel Geral;Central Mineira;Bom Despacho
Santo Hipólito;Central Mineira;Curvelo
Serra da Saudade;Central Mineira;Bom Despacho
Três Marias;Central Mineira;Três Marias
Angelândia;Jequitinhonha;Capelinha
Araçuaí;Jequitinhonha;Araçuaí
Aricanduva;Jequitinhonha;Capelinha
Berilo;Jequitinhonha;Capelinha
Capelinha;Jequitinhonha;Capelinha
Caraí;Jequitinhonha;Araçuaí
Carbonita;Jequitinhonha;Capelinha
Chapada do Norte;Jequitinhonha;Capelinha
Coronel Murta;Jequitinhonha;Araçuaí
Couto de Magalhães de Minas;Jequitinhonha;Diamantina
Datas;Jequitinhonha;Diamantina
Diamantina;Jequitinhonha;Diamantina
Felício dos Santos;Jequitinhonha;Diamantina
Francisco Badaró;Jequitinhonha;Capelinha
Gouveia;Jequitinhonha;Diamantina
Itamarandiba;Jequitinhonha;Capelinha
Itinga;Jequitinhonha;Araçuaí
Jenipapo de Minas;Jequitinhonha;Capelinha
José Gonçalves de Minas;Jequitinhonha;Capelinha
Leme do Prado;Jequitinhonha;Capelinha
Minas Novas;Jequitinhonha;Capelinha
Novo Cruzeiro;Jequitinhonha;Araçuaí
Padre Paraíso;Jequitinhonha;Araçuaí
Ponto dos Volantes;Jequitinhonha;Araçuaí
Presidente Kubitschek;Jequitinhonha;Diamantina
São Gonçalo do Rio Preto;Jequitinhonha;Diamantina
Senador Modestino Gonçalves;Jequitinhonha;Diamantina
Turmalina;Jequitinhonha;Capelinha
Veredinha;Jequitinhonha;Capelinha
Virgem da Lapa;Jequitinhonha;Araçuaí
Almenara;Jequitinhonha;Almenara
Bandeira;Jequitinhonha;Almenara
Cachoeira de Pajeú;Jequitinhonha;Pedra Azul
Comercinho;Jequitinhonha;Pedra Azul
Divisópolis;Jequitinhonha;Almenara
Felisburgo;Jequitinhonha;Almenara
Itaobim;Jequitinhonha;Pedra Azul
Jacinto;Jequitinhonha;Almenara
Jequitinhonha;Jequitinhonha;Almenara
Joaíma;Jequitinhonha;Almenara
Jordânia;Jequitinhonha;Almenara
Mata Verde;Jequitinhonha;Almenara
Medina;Jequitinhonha;Pedra Azul
Monte Formoso;Jequitinhonha;Almenara
Palmópolis;Jequitinhonha;Almenara
Pedra Azul;Jequitinhonha;Pedra Azul
Rio do Prado;Jequitinhonha;Almenara
Rubim;Jequitinhonha;Almenara
Salto da Divisa;Jequitinhonha;Almenara
Santa Maria do Salto;Jequitinhonha;Almenara
Santo Antônio do Jacinto;Jequitinhonha;Almenara
Alvinópolis;Metropolitana De Belo Horizonte;Itabira
Alvorada de Minas;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Araçaí;Metropolitana De Belo Horizonte;Sete Lagoas
Baldim;Metropolitana De Belo Horizonte;Sete Lagoas
Barão de Cocais;Metropolitana De Belo Horizonte;Itabira
Bela Vista de Minas;Metropolitana De Belo Horizonte;Itabira
Belo Horizonte;Metropolitana De Belo Horizonte;Belo Horizonte
Belo Vale;Metropolitana De Belo Horizonte;Itaguara
Betim;Metropolitana De Belo Horizonte;Belo Horizonte
Bom Jesus do Amparo;Metropolitana De Belo Horizonte;Itabira
Bonfim;Metropolitana De Belo Horizonte;Itaguara
Brumadinho;Metropolitana De Belo Horizonte;Belo Horizonte
Cachoeira da Prata;Metropolitana De Belo Horizonte;Sete Lagoas
Caetanópolis;Metropolitana De Belo Horizonte;Sete Lagoas
Caeté;Metropolitana De Belo Horizonte;Belo Horizonte
Capim Branco;Metropolitana De Belo Horizonte;Sete Lagoas
Casa Grande;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Catas Altas;Metropolitana De Belo Horizonte;Itabira
Catas Altas da Noruega;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Conceição do Mato Dentro;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Confins;Metropolitana De Belo Horizonte;Belo Horizonte
Congonhas;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Congonhas do Norte;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Conselheiro Lafaiete;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Contagem;Metropolitana De Belo Horizonte;Belo Horizonte
Cordisburgo;Metropolitana De Belo Horizonte;Sete Lagoas
Cristiano Otoni;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Crucilândia;Metropolitana De Belo Horizonte;Itaguara
Desterro de Entre Rios;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Diogo de Vasconcelos;Metropolitana De Belo Horizonte;Ouro Preto
Dionísio;Metropolitana De Belo Horizonte;Itabira
Dom Joaquim;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Entre Rios de Minas;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Esmeraldas;Metropolitana De Belo Horizonte;Belo Horizonte
Ferros;Metropolitana De Belo Horizonte;Itabira
Florestal;Metropolitana De Belo Horizonte;Pará de Minas
Fortuna de Minas;Metropolitana De Belo Horizonte;Sete Lagoas
Funilândia;Metropolitana De Belo Horizonte;Sete Lagoas
Ibirité;Metropolitana De Belo Horizonte;Belo Horizonte
Igarapé;Metropolitana De Belo Horizonte;Belo Horizonte
Inhaúma;Metropolitana De Belo Horizonte;Sete Lagoas
Itabira;Metropolitana De Belo Horizonte;Itabira
Itabirito;Metropolitana De Belo Horizonte;Ouro Preto
Itaguara;Metropolitana De Belo Horizonte;Itaguara
Itambé do Mato Dentro;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Itatiaiuçu;Metropolitana De Belo Horizonte;Itaguara
Itaverava;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Jaboticatubas;Metropolitana De Belo Horizonte;Sete Lagoas
Jeceaba;Metropolitana De Belo Horizonte;Itaguara
Jequitibá;Metropolitana De Belo Horizonte;Sete Lagoas
João Monlevade;Metropolitana De Belo Horizonte;Itabira
Juatuba;Metropolitana De Belo Horizonte;Belo Horizonte
Lagoa Santa;Metropolitana De Belo Horizonte;Belo Horizonte
Maravilhas;Metropolitana De Belo Horizonte;Sete Lagoas
Mariana;Metropolitana De Belo Horizonte;Ouro Preto
Mário Campos;Metropolitana De Belo Horizonte;Belo Horizonte
Mateus Leme;Metropolitana De Belo Horizonte;Belo Horizonte
Matozinhos;Metropolitana De Belo Horizonte;Sete Lagoas
Moeda;Metropolitana De Belo Horizonte;Itaguara
Morro do Pilar;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Nova Era;Metropolitana De Belo Horizonte;Itabira
Nova Lima;Metropolitana De Belo Horizonte;Belo Horizonte
Nova União;Metropolitana De Belo Horizonte;Itabira
Onça de Pitangui;Metropolitana De Belo Horizonte;Pará de Minas
Ouro Branco;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Ouro Preto;Metropolitana De Belo Horizonte;Ouro Preto
Papagaios;Metropolitana De Belo Horizonte;Sete Lagoas
Pará de Minas;Metropolitana De Belo Horizonte;Pará de Minas
Paraopeba;Metropolitana De Belo Horizonte;Sete Lagoas
Passabém;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Pedro Leopoldo;Metropolitana De Belo Horizonte;Belo Horizonte
Pequi;Metropolitana De Belo Horizonte;Sete Lagoas
Piedade dos Gerais;Metropolitana De Belo Horizonte;Itaguara
Pitangui;Metropolitana De Belo Horizonte;Pará de Minas
Prudente de Morais;Metropolitana De Belo Horizonte;Sete Lagoas
Queluzito;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Raposos;Metropolitana De Belo Horizonte;Belo Horizonte
Ribeirão das Neves;Metropolitana De Belo Horizonte;Belo Horizonte
Rio Acima;Metropolitana De Belo Horizonte;Belo Horizonte
Rio Manso;Metropolitana De Belo Horizonte;Itaguara
Rio Piracicaba;Metropolitana De Belo Horizonte;Itabira
Rio Vermelho;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Sabará;Metropolitana De Belo Horizonte;Belo Horizonte
Santa Bárbara;Metropolitana De Belo Horizonte;Itabira
Santa Luzia;Metropolitana De Belo Horizonte;Belo Horizonte
Santa Maria de Itabira;Metropolitana De Belo Horizonte;Itabira
Santana de Pirapama;Metropolitana De Belo Horizonte;Sete Lagoas
Santana do Riacho;Metropolitana De Belo Horizonte;Sete Lagoas
Santana dos Montes;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
Santo Antônio do Itambé;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Santo Antônio do Rio Abaixo;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
São Brás do Suaçuí;Metropolitana De Belo Horizonte;Conselheiro Lafaiete
São Domingos do Prata;Metropolitana De Belo Horizonte;Itabira
São Gonçalo do Rio Abaixo;Metropolitana De Belo Horizonte;Itabira
São Joaquim de Bicas;Metropolitana De Belo Horizonte;Belo Horizonte
São José da Lapa;Metropolitana De Belo Horizonte;Belo Horizonte
São José da Varginha;Metropolitana De Belo Horizonte;Pará de Minas
São José do Goiabal;Metropolitana De Belo Horizonte;Itabira
São Sebastião do Rio Preto;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Sarzedo;Metropolitana De Belo Horizonte;Belo Horizonte
Serra Azul de Minas;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Serro;Metropolitana De Belo Horizonte;Conceição do Mato Dentro
Sete Lagoas;Metropolitana De Belo Horizonte;Sete Lagoas
Taquaraçu de Minas;Metropolitana De Belo Horizonte;Itabira
Vespasiano;Metropolitana De Belo Horizonte;Belo Horizonte
Arinos;Noroeste De Minas;Unaí
Bonfinópolis de Minas;Noroeste De Minas;Unaí
Brasilândia de Minas;Noroeste De Minas;Paracatu
Buritis;Noroeste De Minas;Unaí
Cabeceira Grande;Noroeste De Minas;Unaí
Dom Bosco;Noroeste De Minas;Unaí
Formoso;Noroeste De Minas;Unaí
Guarda-Mor;Noroeste De Minas;Paracatu
João Pinheiro;Noroeste De Minas;Paracatu
Lagamar;Noroeste De Minas;Paracatu
Lagoa Grande;Noroeste De Minas;Paracatu
Natalândia;Noroeste De Minas;Unaí
Paracatu;Noroeste De Minas;Paracatu
Presidente Olegário;Noroeste De Minas;Paracatu
São Gonçalo do Abaeté;Noroeste De Minas;Paracatu
Unaí;Noroeste De Minas;Unaí
Uruana de Minas;Noroeste De Minas;Unaí
Varjão de Minas;Noroeste De Minas;Paracatu
Vazante;Noroeste De Minas;Paracatu
Águas Vermelhas;Norte De Minas;Salinas
Berizal;Norte De Minas;Salinas
Bocaiúva;Norte De Minas;Bocaiuva
Bonito de Minas;Norte De Minas;Januária
Botumirim;Norte De Minas;Grão Mogol
Brasília de Minas;Norte De Minas;Montes Claros
Buritizeiro;Norte De Minas;Pirapora
Campo Azul;Norte De Minas;Montes Claros
Capitão Enéas;Norte De Minas;Montes Claros
Catuti;Norte De Minas;Janaúba
Chapada Gaúcha;Norte De Minas;Januária
Claro dos Poções;Norte De Minas;Montes Claros
Cônego Marinho;Norte De Minas;Januária
Coração de Jesus;Norte De Minas;Montes Claros
Cristália;Norte De Minas;Grão Mogol
Curral de Dentro;Norte De Minas;Salinas
Divisa Alegre;Norte De Minas;Salinas
Engenheiro Navarro;Norte De Minas;Bocaiuva
Espinosa;Norte De Minas;Janaúba
Francisco Dumont;Norte De Minas;Bocaiuva
Francisco Sá;Norte De Minas;Montes Claros
Fruta de Leite;Norte De Minas;Salinas
Gameleiras;Norte De Minas;Janaúba
Glaucilândia;Norte De Minas;Montes Claros
Grão Mogol;Norte De Minas;Grão Mogol
Guaraciama;Norte De Minas;Bocaiuva
Ibiaí;Norte De Minas;Pirapora
Ibiracatu;Norte De Minas;Montes Claros
Icaraí de Minas;Norte De Minas;Januária
Indaiabira;Norte De Minas;Salinas
Itacambira;Norte De Minas;Grão Mogol
Itacarambi;Norte De Minas;Januária
Jaíba;Norte De Minas;Janaúba
Janaúba;Norte De Minas;Janaúba
Januária;Norte De Minas;Januária
Japonvar;Norte De Minas;Montes Claros
Jequitaí;Norte De Minas;Pirapora
Josenópolis;Norte De Minas;Grão Mogol
Juramento;Norte De Minas;Montes Claros
Juvenília;Norte De Minas;Januária
Lagoa dos Patos;Norte De Minas;Pirapora
Lassance;Norte De Minas;Pirapora
Lontra;Norte De Minas;Montes Claros
Luislândia;Norte De Minas;Montes Claros
Mamonas;Norte De Minas;Janaúba
Manga;Norte De Minas;Januária
Matias Cardoso;Norte De Minas;Januária
Mato Verde;Norte De Minas;Janaúba
Mirabela;Norte De Minas;Montes Claros
Miravânia;Norte De Minas;Januária
Montalvânia;Norte De Minas;Januária
Monte Azul;Norte De Minas;Janaúba
Montes Claros;Norte De Minas;Montes Claros
Montezuma;Norte De Minas;Salinas
Ninheira;Norte De Minas;Salinas
Nova Porteirinha;Norte De Minas;Janaúba
Novorizonte;Norte De Minas;Salinas
Olhos-d'Água;Norte De Minas;Bocaiuva
Padre Carvalho;Norte De Minas;Grão Mogol
Pai Pedro;Norte De Minas;Janaúba
Patis;Norte De Minas;Montes Claros
Pedras de Maria da Cruz;Norte De Minas;Januária
Pintópolis;Norte De Minas;Januária
Pirapora;Norte De Minas;Pirapora
Ponto Chique;Norte De Minas;Montes Claros
Porteirinha;Norte De Minas;Janaúba
Riachinho;Norte De Minas;Pirapora
Riacho dos Machados;Norte De Minas;Janaúba
Rio Pardo de Minas;Norte De Minas;Salinas
Rubelita;Norte De Minas;Salinas
Salinas;Norte De Minas;Salinas
Santa Cruz de Salinas;Norte De Minas;Salinas
Santa Fé de Minas;Norte De Minas;Pirapora
Santo Antônio do Retiro;Norte De Minas;Salinas
São Francisco;Norte De Minas;Januária
São João da Lagoa;Norte De Minas;Montes Claros
São João da Ponte;Norte De Minas;Montes Claros
São João das Missões;Norte De Minas;Januária
São João do Pacuí;Norte De Minas;Montes Claros
São João do Paraíso;Norte De Minas;Salinas
São Romão;Norte De Minas;Pirapora
Serranópolis de Minas;Norte De Minas;Janaúba
Taiobeiras;Norte De Minas;Salinas
Ubaí;Norte De Minas;Montes Claros
Urucuia;Norte De Minas;Januária
Vargem Grande do Rio Pardo;Norte De Minas;Salinas
Várzea da Palma;Norte De Minas;Pirapora
Varzelândia;Norte De Minas;Montes Claros
Verdelândia;Norte De Minas;Montes Claros
Bambuí;Oeste De Minas;Piumhi
Córrego Danta;Oeste De Minas;Piumhi
Doresópolis;Oeste De Minas;Piumhi
Iguatama;Oeste De Minas;Piumhi
Medeiros;Oeste De Minas;Piumhi
Piumhi;Oeste De Minas;Piumhi
São Roque de Minas;Oeste De Minas;Piumhi
Tapiraí;Oeste De Minas;Piumhi
Vargem Bonita;Oeste De Minas;Piumhi
Aguanil;Oeste De Minas;Campo Belo
Arcos;Oeste De Minas;Formiga
Bom Sucesso;Oeste De Minas;Oliveira
Camacho;Oeste De Minas;Formiga
Campo Belo;Oeste De Minas;Campo Belo
Cana Verde;Oeste De Minas;Campo Belo
Candeias;Oeste De Minas;Campo Belo
Carmo da Mata;Oeste De Minas;Oliveira
Carmo do Cajuru;Oeste De Minas;Divinópolis
Carmópolis de Minas;Oeste De Minas;Oliveira
Cláudio;Oeste De Minas;Divinópolis
Conceição do Pará;Oeste De Minas;Divinópolis
Córrego Fundo;Oeste De Minas;Formiga
Cristais;Oeste De Minas;Campo Belo
Divinópolis;Oeste De Minas;Divinópolis
Formiga;Oeste De Minas;Formiga
Ibituruna;Oeste De Minas;Oliveira
Igaratinga;Oeste De Minas;Divinópolis
Itapecerica;Oeste De Minas;Formiga
Itaúna;Oeste De Minas;Divinópolis
Nova Serrana;Oeste De Minas;Divinópolis
Oliveira;Oeste De Minas;Oliveira
Pains;Oeste De Minas;Formiga
Passa Tempo;Oeste De Minas;Oliveira
Pedra do Indaiá;Oeste De Minas;Formiga
Perdigão;Oeste De Minas;Divinópolis
Perdões;Oeste De Minas;Campo Belo
Pimenta;Oeste De Minas;Formiga
Piracema;Oeste De Minas;Oliveira
Santana do Jacaré;Oeste De Minas;Campo Belo
Santo Antônio do Amparo;Oeste De Minas;Oliveira
Santo Antônio do Monte;Oeste De Minas;Divinópolis
São Francisco de Paula;Oeste De Minas;Oliveira
São Gonçalo do Pará;Oeste De Minas;Divinópolis
São Sebastião do Oeste;Oeste De Minas;Divinópolis
Albertina;Sul/Sudoeste De Minas;Poços de Caldas
Alfenas;Sul/Sudoeste De Minas;Alfenas
Alpinópolis;Sul/Sudoeste De Minas;Passos
Alterosa;Sul/Sudoeste De Minas;Alfenas
Andradas;Sul/Sudoeste De Minas;Poços de Caldas
Arceburgo;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Areado;Sul/Sudoeste De Minas;Alfenas
Bandeira do Sul;Sul/Sudoeste De Minas;Poços de Caldas
Boa Esperança;Sul/Sudoeste De Minas;Varginha
Bom Jesus da Penha;Sul/Sudoeste De Minas;Passos
Botelhos;Sul/Sudoeste De Minas;Poços de Caldas
Cabo Verde;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Caldas;Sul/Sudoeste De Minas;Poços de Caldas
Campanha;Sul/Sudoeste De Minas;Varginha
Campestre;Sul/Sudoeste De Minas;Poços de Caldas
Campo do Meio;Sul/Sudoeste De Minas;Varginha
Campos Gerais;Sul/Sudoeste De Minas;Varginha
Capetinga;Sul/Sudoeste De Minas;Passos
Capitólio;Sul/Sudoeste De Minas;Passos
Carmo da Cachoeira;Sul/Sudoeste De Minas;Varginha
Carmo do Rio Claro;Sul/Sudoeste De Minas;Alfenas
Carvalhópolis;Sul/Sudoeste De Minas;Alfenas
Cássia;Sul/Sudoeste De Minas;Passos
Claraval;Sul/Sudoeste De Minas;Passos
Conceição da Aparecida;Sul/Sudoeste De Minas;Alfenas
Coqueiral;Sul/Sudoeste De Minas;Varginha
Delfinópolis;Sul/Sudoeste De Minas;Passos
Divisa Nova;Sul/Sudoeste De Minas;Alfenas
Elói Mendes;Sul/Sudoeste De Minas;Varginha
Fama;Sul/Sudoeste De Minas;Alfenas
Fortaleza de Minas;Sul/Sudoeste De Minas;Passos
Guapé;Sul/Sudoeste De Minas;Varginha
Guaranésia;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Guaxupé;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Ibiraci;Sul/Sudoeste De Minas;Passos
Ibitiúra de Minas;Sul/Sudoeste De Minas;Poços de Caldas
Ilicínea;Sul/Sudoeste De Minas;Varginha
Inconfidentes;Sul/Sudoeste De Minas;Poços de Caldas
Itamogi;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Itaú de Minas;Sul/Sudoeste De Minas;Passos
Jacuí;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Jacutinga;Sul/Sudoeste De Minas;Poços de Caldas
Juruaia;Sul/Sudoeste De Minas;São Sebastião do Paraíso
