NO_MUNICIPIO_ESC;MESORREGIÃO;MICRORREGIÃO
Machado;Sul/Sudoeste De Minas;Alfenas
Monsenhor Paulo;Sul/Sudoeste De Minas;Varginha
Monte Belo;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Monte Santo de Minas;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Monte Sião;Sul/Sudoeste De Minas;Poços de Caldas
Muzambinho;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Nova Resende;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Ouro Fino;Sul/Sudoeste De Minas;Poços de Caldas
Paraguaçu;Sul/Sudoeste De Minas;Alfenas
Passos;Sul/Sudoeste De Minas;Passos
Poço Fundo;Sul/Sudoeste De Minas;Alfenas
Poços de Caldas;Sul/Sudoeste De Minas;Poços de Caldas
Pratápolis;Sul/Sudoeste De Minas;Passos
Santa Rita de Caldas;Sul/Sudoeste De Minas;Poços de Caldas
Santana da Vargem;Sul/Sudoeste De Minas;Varginha
São Bento Abade;Sul/Sudoeste De Minas;Varginha
São João Batista do Glória;Sul/Sudoeste De Minas;Passos
São José da Barra;Sul/Sudoeste De Minas;Passos
São Pedro da União;Sul/Sudoeste De Minas;São Sebastião do Paraíso
São Sebastião do Paraíso;Sul/Sudoeste De Minas;São Sebastião do Paraíso
São Thomé das Letras;Sul/Sudoeste De Minas;Varginha
São Tomás de Aquino;Sul/Sudoeste De Minas;São Sebastião do Paraíso
Serrania;Sul/Sudoeste De Minas;Alfenas
Três Corações;Sul/Sudoeste De Minas;Varginha
Três Pontas;Sul/Sudoeste De Minas;Varginha
Varginha;Sul/Sudoeste De Minas;Varginha
Aiuruoca;Sul/Sudoeste De Minas;Andrelândia
Alagoa;Sul/Sudoeste De Minas;São Lourenço
Andrelândia;Sul/Sudoeste De Minas;Andrelândia
Arantina;Sul/Sudoeste De Minas;Andrelândia
Baependi;Sul/Sudoeste De Minas;São Lourenço
Bocaina de Minas;Sul/Sudoeste De Minas;Andrelândia
Bom Jardim de Minas;Sul/Sudoeste De Minas;Andrelândia
Bom Repouso;Sul/Sudoeste De Minas;Pouso Alegre
Borda da Mata;Sul/Sudoeste De Minas;Pouso Alegre
Brazópolis;Sul/Sudoeste De Minas;Itajubá
Bueno Brandão;Sul/Sudoeste De Minas;Pouso Alegre
Cachoeira de Minas;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Camanducaia;Sul/Sudoeste De Minas;Pouso Alegre
Cambuí;Sul/Sudoeste De Minas;Pouso Alegre
Cambuquira;Sul/Sudoeste De Minas;São Lourenço
Careaçu;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Carmo de Minas;Sul/Sudoeste De Minas;São Lourenço
Carvalhos;Sul/Sudoeste De Minas;Andrelândia
Caxambu;Sul/Sudoeste De Minas;São Lourenço
Conceição das Pedras;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Conceição do Rio Verde;Sul/Sudoeste De Minas;São Lourenço
Conceição dos Ouros;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Congonhal;Sul/Sudoeste De Minas;Pouso Alegre
Consolação;Sul/Sudoeste De Minas;Itajubá
Cordislândia;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Córrego do Bom Jesus;Sul/Sudoeste De Minas;Pouso Alegre
Cristina;Sul/Sudoeste De Minas;Itajubá
Cruzília;Sul/Sudoeste De Minas;Andrelândia
Delfim Moreira;Sul/Sudoeste De Minas;Itajubá
Dom Viçoso;Sul/Sudoeste De Minas;Itajubá
Espírito Santo do Dourado;Sul/Sudoeste De Minas;Pouso Alegre
Estiva;Sul/Sudoeste De Minas;Pouso Alegre
Extrema;Sul/Sudoeste De Minas;Pouso Alegre
Gonçalves;Sul/Sudoeste De Minas;Pouso Alegre
Heliodora;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Ipuiúna;Sul/Sudoeste De Minas;Pouso Alegre
Itajubá;Sul/Sudoeste De Minas;Itajubá
Itamonte;Sul/Sudoeste De Minas;São Lourenço
Itanhandu;Sul/Sudoeste De Minas;São Lourenço
Itapeva;Sul/Sudoeste De Minas;Pouso Alegre
Jesuânia;Sul/Sudoeste De Minas;São Lourenço
Lambari;Sul/Sudoeste De Minas;São Lourenço
Liberdade;Sul/Sudoeste De Minas;Andrelândia
Maria da Fé;Sul/Sudoeste De Minas;Itajubá
Marmelópolis;Sul/Sudoeste De Minas;Itajubá
Minduri;Sul/Sudoeste De Minas;Andrelândia
Munhoz;Sul/Sudoeste De Minas;Pouso Alegre
Natércia;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Olímpio Noronha;Sul/Sudoeste De Minas;São Lourenço
Paraisópolis;Sul/Sudoeste De Minas;Itajubá
Passa Quatro;Sul/Sudoeste De Minas;São Lourenço
Passa Vinte;Sul/Sudoeste De Minas;Andrelândia
Pedralva;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Piranguçu;Sul/Sudoeste De Minas;Itajubá
Piranguinho;Sul/Sudoeste De Minas;Itajubá
Pouso Alegre;Sul/Sudoeste De Minas;Pouso Alegre
Pouso Alto;Sul/Sudoeste De Minas;São Lourenço
Santa Rita do Sapucaí;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
São Gonçalo do Sapucaí;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
São João da Mata;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
São José do Alegre;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
São Lourenço;Sul/Sudoeste De Minas;São Lourenço
São Sebastião da Bela Vista;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
São Sebastião do Rio Verde;Sul/Sudoeste De Minas;São Lourenço
São Vicente de Minas;Sul/Sudoeste De Minas;Andrelândia
Sapucaí-Mirim;Sul/Sudoeste De Minas;Pouso Alegre
Senador Amaral;Sul/Sudoeste De Minas;Pouso Alegre
Senador José Bento;Sul/Sudoeste De Minas;Pouso Alegre
Seritinga;Sul/Sudoeste De Minas;Andrelândia
Serranos;Sul/Sudoeste De Minas;Andrelândia
Silvianópolis;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Soledade de Minas;Sul/Sudoeste De Minas;São Lourenço
Tocos do Moji;Sul/Sudoeste De Minas;Pouso Alegre
Toledo;Sul/Sudoeste De Minas;Pouso Alegre
Turvolândia;Sul/Sudoeste De Minas;Santa Rita do Sapucaí
Virgínia;Sul/Sudoeste De Minas;Itajubá
Wenceslau Braz;Sul/Sudoeste De Minas;Itajubá
Abadia dos Dourados;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Água Comprida;Triângulo Mineiro/Alto Paranaíba;Uberaba
Araguari;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Araporã;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Arapuá;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Araxá;Triângulo Mineiro/Alto Paranaíba;Araxá
Cachoeira Dourada;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
Campina Verde;Triângulo Mineiro/Alto Paranaíba;Frutal
Campo Florido;Triângulo Mineiro/Alto Paranaíba;Uberaba
Campos Altos;Triângulo Mineiro/Alto Paranaíba;Araxá
Canápolis;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Capinópolis;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
Carmo do Paranaíba;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Carneirinho;Triângulo Mineiro/Alto Paranaíba;Frutal
Cascalho Rico;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Centralina;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Comendador Gomes;Triângulo Mineiro/Alto Paranaíba;Frutal
Conceição das Alagoas;Triângulo Mineiro/Alto Paranaíba;Uberaba
Conquista;Triângulo Mineiro/Alto Paranaíba;Uberaba
Coromandel;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Cruzeiro da Fortaleza;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Delta;Triângulo Mineiro/Alto Paranaíba;Uberaba
Douradoquara;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Estrela do Sul;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Fronteira;Triângulo Mineiro/Alto Paranaíba;Frutal
Frutal;Triângulo Mineiro/Alto Paranaíba;Frutal
Grupiara;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Guimarânia;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Gurinhatã;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
Ibiá;Triângulo Mineiro/Alto Paranaíba;Araxá
Indianópolis;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Ipiaçu;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
Iraí de Minas;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Itapagipe;Triângulo Mineiro/Alto Paranaíba;Frutal
Ituiutaba;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
Iturama;Triângulo Mineiro/Alto Paranaíba;Frutal
Lagoa Formosa;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Limeira do Oeste;Triângulo Mineiro/Alto Paranaíba;Frutal
Matutina;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Monte Alegre de Minas;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Monte Carmelo;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Nova Ponte;Triângulo Mineiro/Alto Paranaíba;Araxá
Patos de Minas;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Patrocínio;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Pedrinópolis;Triângulo Mineiro/Alto Paranaíba;Araxá
Perdizes;Triângulo Mineiro/Alto Paranaíba;Araxá
Pirajuba;Triângulo Mineiro/Alto Paranaíba;Frutal
Planura;Triângulo Mineiro/Alto Paranaíba;Frutal
Prata;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Pratinha;Triângulo Mineiro/Alto Paranaíba;Araxá
Rio Paranaíba;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Romaria;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Sacramento;Triângulo Mineiro/Alto Paranaíba;Araxá
Santa Juliana;Triângulo Mineiro/Alto Paranaíba;Araxá
Santa Rosa da Serra;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Santa Vitória;Triângulo Mineiro/Alto Paranaíba;Ituiutaba
São Francisco de Sales;Triângulo Mineiro/Alto Paranaíba;Frutal
São Gotardo;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Serra do Salitre;Triângulo Mineiro/Alto Paranaíba;Patrocínio
Tapira;Triângulo Mineiro/Alto Paranaíba;Araxá
Tiros;Triângulo Mineiro/Alto Paranaíba;Patos de Minas
Tupaciguara;Triângulo Mineiro/Alto Paranaíba;Uberlândia
Uberaba;Triângulo Mineiro/Alto Paranaíba;Uberaba
Uberlândia;Triângulo Mineiro/Alto Paranaíba;Uberlândia
União de Minas;Triângulo Mineiro/Alto Paranaíba;Frutal
Veríssimo;Triângulo Mineiro/Alto Paranaíba;Uberaba
Águas Formosas;Vale Do Mucuri;Nanuque
Ataléia;Vale Do Mucuri;Teófilo Otoni
Bertópolis;Vale Do Mucuri;Nanuque
Carlos Chagas;Vale Do Mucuri;Nanuque
Catuji;Vale Do Mucuri;Teófilo Otoni
Crisólita;Vale Do Mucuri;Nanuque
Franciscópolis;Vale Do Mucuri;Teófilo Otoni
Frei Gaspar;Vale Do Mucuri;Teófilo Otoni
Fronteira dos Vales;Vale Do Mucuri;Nanuque
Itaipé;Vale Do Mucuri;Teófilo Otoni
Ladainha;Vale Do Mucuri;Teófilo Otoni
Machacalis;Vale Do Mucuri;Nanuque
Malacacheta;Vale Do Mucuri;Teófilo Otoni
Nanuque;Vale Do Mucuri;Nanuque
Novo Oriente de Minas;Vale Do Mucuri;Teófilo Otoni
Ouro Verde de Minas;Vale Do Mucuri;Teófilo Otoni
Pavão;Vale Do Mucuri;Teófilo Otoni
Poté;Vale Do Mucuri;Teófilo Otoni
Santa Helena de Minas;Vale Do Mucuri;Nanuque
Serra dos Aimorés;Vale Do Mucuri;Nanuque
Setubinha;Vale Do Mucuri;Teófilo Otoni
Teófilo Otoni;Vale Do Mucuri;Teófilo Otoni
Umburatiba;Vale Do Mucuri;Nanuque
Açucena;Vale Do Rio Doce;Ipatinga
Água Boa;Vale Do Rio Doce;Peçanha
Aimorés;Vale Do Rio Doce;Aimorés
Alpercata;Vale Do Rio Doce;Governador Valadares
Alvarenga;Vale Do Rio Doce;Aimorés
Antônio Dias;Vale Do Rio Doce;Ipatinga
Belo Oriente;Vale Do Rio Doce;Ipatinga
Bom Jesus do Galho;Vale Do Rio Doce;Caratinga
Braúnas;Vale Do Rio Doce;Guanhães
Bugre;Vale Do Rio Doce;Caratinga
Campanário;Vale Do Rio Doce;Governador Valadares
Cantagalo;Vale Do Rio Doce;Peçanha
Capitão Andrade;Vale Do Rio Doce;Governador Valadares
Caratinga;Vale Do Rio Doce;Caratinga
Carmésia;Vale Do Rio Doce;Guanhães
Central de Minas;Vale Do Rio Doce;Mantena
Coluna;Vale Do Rio Doce;Guanhães
Conceição de Ipanema;Vale Do Rio Doce;Aimorés
Conselheiro Pena;Vale Do Rio Doce;Aimorés
Coroaci;Vale Do Rio Doce;Governador Valadares
Coronel Fabriciano;Vale Do Rio Doce;Ipatinga
Córrego Novo;Vale Do Rio Doce;Caratinga
Cuparaque;Vale Do Rio Doce;Aimorés
Divino das Laranjeiras;Vale Do Rio Doce;Governador Valadares
Divinolândia de Minas;Vale Do Rio Doce;Guanhães
Dom Cavati;Vale Do Rio Doce;Caratinga
Dores de Guanhães;Vale Do Rio Doce;Guanhães
Engenheiro Caldas;Vale Do Rio Doce;Governador Valadares
Entre Folhas;Vale Do Rio Doce;Caratinga
Fernandes Tourinho;Vale Do Rio Doce;Governador Valadares
Frei Inocêncio;Vale Do Rio Doce;Governador Valadares
Frei Lagonegro;Vale Do Rio Doce;Peçanha
Galiléia;Vale Do Rio Doce;Governador Valadares
Goiabeira;Vale Do Rio Doce;Aimorés
Gonzaga;Vale Do Rio Doce;Guanhães
Governador Valadares;Vale Do Rio Doce;Governador Valadares
Guanhães;Vale Do Rio Doce;Guanhães
Iapu;Vale Do Rio Doce;Caratinga
Imbé de Minas;Vale Do Rio Doce;Caratinga
Inhapim;Vale Do Rio Doce;Caratinga
Ipaba;Vale Do Rio Doce;Caratinga
Ipanema;Vale Do Rio Doce;Aimorés
Ipatinga;Vale Do Rio Doce;Ipatinga
Itabirinha;Vale Do Rio Doce;Mantena
Itambacuri;Vale Do Rio Doce;Governador Valadares
Itanhomi;Vale Do Rio Doce;Governador Valadares
Itueta;Vale Do Rio Doce;Aimorés
Jaguaraçu;Vale Do Rio Doce;Ipatinga
Jampruca;Vale Do Rio Doce;Governador Valadares
Joanésia;Vale Do Rio Doce;Ipatinga
José Raydan;Vale Do Rio Doce;Peçanha
Mantena;Vale Do Rio Doce;Mantena
Marilac;Vale Do Rio Doce;Governador Valadares
Marliéria;Vale Do Rio Doce;Ipatinga
Materlândia;Vale Do Rio Doce;Guanhães
Mathias Lobato;Vale Do Rio Doce;Governador Valadares
Mendes Pimentel;Vale Do Rio Doce;Mantena
Mesquita;Vale Do Rio Doce;Ipatinga
Mutum;Vale Do Rio Doce;Aimorés
Nacip Raydan;Vale Do Rio Doce;Governador Valadares
Naque;Vale Do Rio Doce;Ipatinga
Nova Belém;Vale Do Rio Doce;Mantena
Nova Módica;Vale Do Rio Doce;Governador Valadares
Paulistas;Vale Do Rio Doce;Guanhães
Peçanha;Vale Do Rio Doce;Peçanha
Periquito;Vale Do Rio Doce;Ipatinga
Pescador;Vale Do Rio Doce;Governador Valadares
Piedade de Caratinga;Vale Do Rio Doce;Caratinga
Pingo d'Água;Vale Do Rio Doce;Caratinga
Pocrane;Vale Do Rio Doce;Aimorés
Resplendor;Vale Do Rio Doce;Aimorés
Sabinópolis;Vale Do Rio Doce;Guanhães
Santa Efigênia de Minas;Vale Do Rio Doce;Guanhães
Santa Maria do Suaçuí;Vale Do Rio Doce;Peçanha
Santa Rita de Minas;Vale Do Rio Doce;Caratinga
Santa Rita do Itueto;Vale Do Rio Doce;Aimorés
Santana do Paraíso;Vale Do Rio Doce;Ipatinga
São Domingos das Dores;Vale Do Rio Doce;Caratinga
São Félix de Minas;Vale Do Rio Doce;Mantena
São Geraldo da Piedade;Vale Do Rio Doce;Governador Valadares
São Geraldo do Baixio;Vale Do Rio Doce;Governador Valadares
São João do Manteninha;Vale Do Rio Doce;Mantena
São João do Oriente;Vale Do Rio Doce;Caratinga
São João Evangelista;Vale Do Rio Doce;Guanhães
São José da Safira;Vale Do Rio Doce;Governador Valadares
São José do Divino;Vale Do Rio Doce;Governador Valadares
São José do Jacuri;Vale Do Rio Doce;Peçanha
São Pedro do Suaçuí;Vale Do Rio Doce;Peçanha
São Sebastião do Anta;Vale Do Rio Doce;Caratinga
São Sebastião do Maranhão;Vale Do Rio Doce;Peçanha
Sardoá;Vale Do Rio Doce;Guanhães
Senhora do Porto;Vale Do Rio Doce;Guanhães
Sobrália;Vale Do Rio Doce;Governador Valadares
Taparuba;Vale Do Rio Doce;Aimorés
Tarumirim;Vale Do Rio Doce;Caratinga
Timóteo;Vale Do Rio Doce;Ipatinga
Tumiritinga;Vale Do Rio Doce;Governador Valadares
Ubaporanga;Vale Do Rio Doce;Caratinga
Vargem Alegre;Vale Do Rio Doce;Caratinga
Virginópolis;Vale Do Rio Doce;Guanhães
Virgolândia;Vale Do Rio Doce;Governador Valadares
Abre Campo;Zona Da Mata;Manhuaçu
Acaiaca;Zona Da Mata;Ponte Nova
Alto Caparaó;Zona Da Mata;Manhuaçu
Alto Jequitibá;Zona Da Mata;Manhuaçu
Alto Rio Doce;Zona Da Mata;Viçosa
Amparo do Serra;Zona Da Mata;Viçosa
Antônio Prado de Minas;Zona Da Mata;Muriaé
Aracitaba;Zona Da Mata;Juiz de Fora
Araponga;Zona Da Mata;Viçosa
Astolfo Dutra;Zona Da Mata;Ubá
Barão de Monte Alto;Zona Da Mata;Muriaé
Barra Longa;Zona Da Mata;Ponte Nova
Belmiro Braga;Zona Da Mata;Juiz de Fora
Bias Fortes;Zona Da Mata;Juiz de Fora
Bicas;Zona Da Mata;Juiz de Fora
Brás Pires;Zona Da Mata;Viçosa
Caiana;Zona Da Mata;Muriaé
Cajuri;Zona Da Mata;Viçosa
Canaã;Zona Da Mata;Viçosa
Caparaó;Zona Da Mata;Manhuaçu
Caputira;Zona Da Mata;Manhuaçu
Carangola;Zona Da Mata;Muriaé
Chácara;Zona Da Mata;Juiz de Fora
Chalé;Zona Da Mata;Manhuaçu
Chiador;Zona Da Mata;Juiz de Fora
Cipotânea;Zona Da Mata;Viçosa
Coimbra;Zona Da Mata;Viçosa
Coronel Pacheco;Zona Da Mata;Juiz de Fora
Descoberto;Zona Da Mata;Juiz de Fora
Divinésia;Zona Da Mata;Ubá
Divino;Zona Da Mata;Muriaé
Dom Silvério;Zona Da Mata;Ponte Nova
Dores do Turvo;Zona Da Mata;Ubá
Durandé;Zona Da Mata;Manhuaçu
Ervália;Zona Da Mata;Viçosa
Espera Feliz;Zona Da Mata;Muriaé
Eugenópolis;Zona Da Mata;Muriaé
Ewbank da Câmara;Zona Da Mata;Juiz de Fora
Faria Lemos;Zona Da Mata;Muriaé
Fervedouro;Zona Da Mata;Muriaé
Goianá;Zona Da Mata;Juiz de Fora
Guaraciaba;Zona Da Mata;Ponte Nova
Guarani;Zona Da Mata;Ubá
Guarará;Zona Da Mata;Juiz de Fora
Guidoval;Zona Da Mata;Ubá
Guiricema;Zona Da Mata;Ubá
Jequeri;Zona Da Mata;Ponte Nova
Juiz de Fora;Zona Da Mata;Juiz de Fora
Lajinha;Zona Da Mata;Manhuaçu
Lamim;Zona Da Mata;Viçosa
Lima Duarte;Zona Da Mata;Juiz de Fora
Luisburgo;Zona Da Mata;Manhuaçu
Manhuaçu;Zona Da Mata;Manhuaçu
Manhumirim;Zona Da Mata;Manhuaçu
Mar de Espanha;Zona Da Mata;Juiz de Fora
Maripá de Minas;Zona Da Mata;Juiz de Fora
Martins Soares;Zona Da Mata;Manhuaçu
Matias Barbosa;Zona Da Mata;Juiz de Fora
Matipó;Zona Da Mata;Manhuaçu
Mercês;Zona Da Mata;Ubá
Miradouro;Zona Da Mata;Muriaé
Miraí;Zona Da Mata;Muriaé
Muriaé;Zona Da Mata;Muriaé
Olaria;Zona Da Mata;Juiz de Fora
Oliveira Fortes;Zona Da Mata;Juiz de Fora
Oratórios;Zona Da Mata;Ponte Nova
Orizânia;Zona Da Mata;Muriaé
Paiva;Zona Da Mata;Juiz de Fora
Patrocínio do Muriaé;Zona Da Mata;Muriaé
Paula Cândido;Zona Da Mata;Viçosa
Pedra Bonita;Zona Da Mata;Manhuaçu
Pedra do Anta;Zona Da Mata;Viçosa
Pedra Dourada;Zona Da Mata;Muriaé
Pedro Teixeira;Zona Da Mata;Juiz de Fora
Piau;Zona Da Mata;Juiz de Fora
Piedade de Ponte Nova;Zona Da Mata;Ponte Nova
Piranga;Zona Da Mata;Viçosa
Piraúba;Zona Da Mata;Ubá
Ponte Nova;Zona Da Mata;Ponte Nova
Porto Firme;Zona Da Mata;Viçosa
Presidente Bernardes;Zona Da Mata;Viçosa
Raul Soares;Zona Da Mata;Ponte Nova
Reduto;Zona Da Mata;Manhuaçu
Rio Casca;Zona Da Mata;Ponte Nova
Rio Doce;Zona Da Mata;Ponte Nova
Rio Espera;Zona Da Mata;Viçosa
Rio Novo;Zona Da Mata;Juiz de Fora
Rio Pomba;Zona Da Mata;Ubá
Rio Preto;Zona Da Mata;Juiz de Fora
Rochedo de Minas;Zona Da Mata;Juiz de Fora
Rodeiro;Zona Da Mata;Ubá
Rosário da Limeira;Zona Da Mata;Muriaé
Santa Bárbara do Leste;Vale Do Rio Doce;Caratinga
Santa Bárbara do Monte Verde;Zona Da Mata;Juiz de Fora
Santa Cruz do Escalvado;Zona Da Mata;Ponte Nova
Santa Margarida;Zona Da Mata;Manhuaçu
Santa Rita de Ibitipoca;Zona Da Mata;Juiz de Fora
Santa Rita de Jacutinga;Zona Da Mata;Juiz de Fora
Santana do Deserto;Zona Da Mata;Juiz de Fora
Santana do Manhuaçu;Zona Da Mata;Manhuaçu
Santo Antônio do Grama;Zona Da Mata;Ponte Nova
Santos Dumont;Zona Da Mata;Juiz de Fora
São Francisco do Glória;Zona Da Mata;Muriaé
São Geraldo;Zona Da Mata;Ubá
São João do Manhuaçu;Zona Da Mata;Manhuaçu
São João Nepomuceno;Zona Da Mata;Juiz de Fora
São José do Mantimento;Zona Da Mata;Manhuaçu
São Miguel do Anta;Zona Da Mata;Viçosa
São Pedro dos Ferros;Zona Da Mata;Ponte Nova
São Sebastião da Vargem Alegre;Zona Da Mata;Muriaé
Sem-Peixe;Zona Da Mata;Ponte Nova
Senador Cortes;Zona Da Mata;Juiz de Fora
Senador Firmino;Zona Da Mata;Ubá
Senhora de Oliveira;Zona Da Mata;Viçosa
Sericita;Zona Da Mata;Ponte Nova
Silveirânia;Zona Da Mata;Ubá
Simão Pereira;Zona Da Mata;Juiz de Fora
Simonésia;Zona Da Mata;Manhuaçu
Tabuleiro;Zona Da Mata;Ubá
Teixeiras;Zona Da Mata;Viçosa
Tocantins;Zona Da Mata;Ubá
Tombos;Zona Da Mata;Muriaé
Ubá;Zona Da Mata;Ubá
Urucânia;Zona Da Mata;Ponte Nova
Vermelho Novo;Zona Da Mata;Ponte Nova
Viçosa;Zona Da Mata;Viçosa
Vieiras;Zona Da Mata;Muriaé
Visconde do Rio Branco;Zona Da Mata;Ubá
Além Paraíba;Zona Da Mata;Cataguases
Argirita;Zona Da Mata;Cataguases
Cataguases;Zona Da Mata;Cataguases
Dona Euzébia;Zona Da Mata;Cataguases
Estrela Dalva;Zona Da Mata;Cataguases
Itamarati de Minas;Zona Da Mata;Cataguases
Laranjal;Zona Da Mata;Cataguases
Leopoldina;Zona Da Mata;Cataguases
Palma;Zona Da Mata;Cataguases
Pequeri;Zona Da Mata;Juiz de Fora
Pirapetinga;Zona Da Mata;Cataguases
Recreio;Zona Da Mata;Cataguases
Santana de Cataguases;Zona Da Mata;Cataguases
Santo Antônio do Aventureiro;Zona Da Mata;Cataguases
Volta Grande;Zona Da Mata;Cataguases
